Group,freq,RxTx.pairs
1,1,14
2,2,10
3,3,10
4,4,2
5,1,28
6,2,22
7,3,14
8,4,6
9,1,42
10,2,36
11,3,22
12,4,10
13,5,8
14,6,2
15,1,56
16,2,52
17,3,28
18,4,18
19,5,2
20,6,2
21,1,70
22,2,56
23,3,40
24,4,22
25,5,14
26,6,4
27,1,86
28,2,74
29,3,50
30,4,38
31,5,22
32,6,24
33,1,100
34,2,94
35,3,62
36,4,48
37,5,38
38,6,30
39,1,114
40,2,104
41,3,82
42,4,56
43,5,52
44,6,44
45,1,122
46,2,108
47,3,88
48,4,64
49,5,62
50,6,54
51,1,122
52,2,112
53,3,84
54,4,66
55,5,60
56,6,52
57,1,138
58,2,132
59,3,94
60,4,84
61,5,76
62,6,72
63,1,150
64,2,142
65,3,110
66,4,94
67,5,86
68,6,80
69,1,164
70,2,154
71,3,124
72,4,110
73,5,102
74,6,94
75,1,178
76,2,170
77,3,136
78,4,126
79,5,116
80,6,106
81,1,192
82,2,186
83,3,154
84,4,138
85,5,122
86,6,106
87,1,210
88,2,194
89,3,164
90,4,134
91,5,122
92,6,112
93,1,218
94,2,216
95,3,172
96,4,140
97,5,124
98,6,112
99,1,218
100,2,210
101,3,176
102,4,140
103,5,124
104,6,114
105,1,212
106,2,200
107,3,172
108,4,144
109,5,122
110,6,102
111,1,198
112,2,186
113,3,156
114,4,138
115,5,118
116,6,104
117,1,186
118,2,174
119,3,144
120,4,134
121,5,124
122,6,116
123,1,168
124,2,164
125,3,134
126,4,116
127,5,110
128,6,100
129,1,154
130,2,144
131,3,114
132,4,106
133,5,94
134,6,88
135,1,140
136,2,134
137,3,102
138,4,90
139,5,80
140,6,70
141,1,126
142,2,124
143,3,90
144,4,76
145,5,64
146,6,58
147,1,124
148,2,114
149,3,92
150,4,74
151,5,66
152,6,60
153,1,118
154,2,114
155,3,86
156,4,70
157,5,60
158,6,54
159,1,104
160,2,94
161,3,62
162,4,56
163,5,44
164,6,42
165,1,90
166,2,78
167,3,58
168,4,42
169,5,28
170,6,24
171,1,76
172,2,72
173,3,42
174,4,26
175,5,12
176,6,10
177,1,62
178,2,50
179,3,30
180,4,12
181,5,2
182,1,46
183,2,36
184,3,10
185,1,32
186,2,30
187,3,4
188,1,18
189,2,12
190,1,4
