y,z,rho,triangles,initial.mesh,Y,Z,name,vertices,attributes
87,28,6.754,4029,TRUE,8712.753,2823.441,vert1,1829,1829
87,28,6.754,4029,TRUE,8860.771,2729.331,vert2,1865,1865
87,28,6.754,4029,TRUE,8769.749,2982.272,vert3,4090,4090
519,302,1429.7,14206,TRUE,44642.869,26518.472,vert1,7349,7349
519,302,1429.7,14206,TRUE,57693.63,24459.207,vert2,7353,7353
519,302,1429.7,14206,TRUE,54472.636,46430.653,vert3,7367,7367
-40,21,19.74,12006,TRUE,-4162.725,2089.925,vert1,5953,5953
-40,21,19.74,12006,TRUE,-3923.154,2117.736,vert2,6199,6199
-40,21,19.74,12006,TRUE,-4070.251,2339.104,vert3,6202,6202
135,27,0.56291,4488,TRUE,13512.586,2917.388,vert1,2010,2010
135,27,0.56291,4488,TRUE,13514.329,2639.999,vert2,2034,2034
135,27,0.56291,4488,TRUE,13683.686,2730.282,vert3,2071,2071
242,36,1.7782,8458,TRUE,24309.771,3581.242,vert1,3945,3945
242,36,1.7782,8458,TRUE,24259.734,3763.688,vert2,4443,4443
242,36,1.7782,8458,TRUE,24124.58,3564.354,vert3,4943,4943
70,9,1.122,736,TRUE,7147.177,793.73,vert1,434,434
70,9,1.122,736,TRUE,6995.557,877.177,vert2,766,766
70,9,1.122,736,TRUE,7090.98,1106.512,vert3,1115,1115
394,40,6.7361,8134,TRUE,39393.425,4140.774,vert1,3754,3754
394,40,6.7361,8134,TRUE,39457.604,3931.299,vert2,3756,3756
394,40,6.7361,8134,TRUE,39586.848,4156.489,vert3,3763,3763
278,45,41.57,7189,TRUE,27859.805,4489.309,vert1,3182,3182
278,45,41.57,7189,TRUE,27929.297,4639.306,vert2,3309,3309
278,45,41.57,7189,TRUE,27694.5,4656.99,vert3,3310,3310
289,17,2.1388,2047,TRUE,28742.6,1730.342,vert1,986,986
289,17,2.1388,2047,TRUE,28970.397,1689.488,vert2,1030,1030
289,17,2.1388,2047,TRUE,28991.059,1901.401,vert3,1080,1080
34,6,1.9752,62,TRUE,3500,535.277,vert1,40,40
34,6,1.9752,62,TRUE,3546.801,729.777,vert2,470,470
34,6,1.9752,62,TRUE,3348.003,650.672,vert3,578,578
-1,28,6.0993,3845,TRUE,-172.126,2946.395,vert1,1742,1742
-1,28,6.0993,3845,TRUE,-81.509,2738.203,vert2,4066,4066
-1,28,6.0993,3845,TRUE,-277.756,2803.853,vert3,4114,4114
-22,5,4.7788,9849,TRUE,-2107.815,648.402,vert1,4813,4813
-22,5,4.7788,9849,TRUE,-2187.5,463.452,vert2,4824,4824
-22,5,4.7788,9849,TRUE,-2343.75,571.133,vert3,6842,6842
-19,30,14.073,9865,TRUE,-1863.984,2950.346,vert1,4837,4837
-19,30,14.073,9865,TRUE,-2109.388,2995.789,vert2,5094,5094
-19,30,14.073,9865,TRUE,-1960.794,3112.897,vert3,5099,5099
-36,23,18.408,12488,TRUE,-3807.465,2378.921,vert1,6201,6201
-36,23,18.408,12488,TRUE,-3605.513,2318.656,vert2,6345,6345
-36,23,18.408,12488,TRUE,-3557.482,2482.344,vert3,6346,6346
-6,40,18.927,7596,TRUE,-505.859,4162.269,vert1,3454,3454
-6,40,18.927,7596,TRUE,-599.367,3934.306,vert2,3456,3456
-6,40,18.927,7596,TRUE,-672.571,4097.493,vert3,3470,3470
-6,40,18.927,7603,TRUE,-599.367,3934.306,vert1,3456,3456
-6,40,18.927,7603,TRUE,-839.284,4032.717,vert2,3465,3465
-6,40,18.927,7603,TRUE,-672.571,4097.493,vert3,3470,3470
